"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Nov 09 20:09:45 CST 2023","Thu Nov 09 20:09:45 CST 2023","0","143_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 15:36:53 CST 2023","Thu Nov 09 15:36:53 CST 2023","0","284_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 22:46:00 CST 2023","Thu Nov 09 22:46:00 CST 2023","0","178_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 22:10:16 CST 2023","Thu Nov 09 22:10:16 CST 2023","0","639_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 22:16:28 CST 2023","Thu Nov 09 22:16:28 CST 2023","0","446_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Wed Oct 18 22:38:01 CST 2023","Wed Oct 18 22:38:01 CST 2023","0","463_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"passed","Thu Oct 19 14:19:26 CST 2023","Thu Oct 19 14:19:49 CST 2023","22260","217_testcase","test_login","TestLogin","","","首页上滑127.0.0.1:62001","首页上滑"
"broken","Thu Nov 09 11:54:00 CST 2023","Thu Nov 09 11:54:00 CST 2023","0","557_testcase","test_login","TestLogin","","","test_swipe","首页上滑"
"broken","Thu Nov 09 20:19:26 CST 2023","Thu Nov 09 20:19:26 CST 2023","0","164_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 22:17:47 CST 2023","Thu Nov 09 22:17:47 CST 2023","0","47_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 16:36:54 CST 2023","Thu Nov 09 16:36:54 CST 2023","0","740_testcase","test_login","TestLogin","","","test_login","用户正常登录"
"broken","Thu Nov 09 11:46:20 CST 2023","Thu Nov 09 11:46:20 CST 2023","0","526_testcase","test_login","TestLogin","","","test_login","用户正常登录"
